lat,lon,name,operator,opening_hours,Unnamed: 5,prixDiesel,prixDieselExcellium,prixEssence95,prixEssence98,prixLPG,derniereModification,url
50.2329413,12.8677549,"OMV KV, Pobřežní","OMV Česká republika, s.r.o.",24/7,,40.07,,42.96,,24.73,17-06-2026,https://www.mbenzin.cz/
50.2544122,12.4067839,Luby,,,,39.44,,41.85,,24.03,17-06-2026,https://www.mbenzin.cz/
50.176252,12.6781863,OMV,"OMV Česká republika, s.r.o.",24/7,,41.09,,42.92,,24.81,17-06-2026,https://www.mbenzin.cz/
50.0838918,12.3703908,Shell,,24/7,,41.05,,42.46,,24.91,17-06-2026,https://www.mbenzin.cz/
50.0466756,12.3501286,"MOL, Cheb Svatý Kříž","MOL Česká republika, s.r.o.",24/7,,39.94,,42.61,,24.75,17-06-2026,https://www.mbenzin.cz/
50.1225014,12.3684521,Orlen,Orlen Unipetrol RPA,24/7,,39.8,,40.68,,24.25,17-06-2026,https://www.mbenzin.cz/
50.0412422,12.3411659,,,,,39.57,,41.62,,24.57,17-06-2026,https://www.mbenzin.cz/
49.7231328,13.354345,"Benzina Plzeň, Bory","Benzina, s.r.o.",05:00-22:00,,38.89,,41.03,,24.62,17-06-2026,https://www.mbenzin.cz/
49.8522624,13.8676802,"MOL, Záluží - D5 to PRG","MOL Česká republika, s.r.o.",24/7,,39.85,,41.58,,24.42,17-06-2026,https://www.mbenzin.cz/
50.4580367,13.3883901,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-24:00,,38.84,,41.89,,24.3,17-06-2026,https://www.mbenzin.cz/
50.0847771,12.4487169,EuroOil Cheb,"Čepro, a.s.",Mar-Oct 06:00-22:00;Nov-Feb 06:00-21:00,,38.96,,40.59,,24.3,17-06-2026,https://www.mbenzin.cz/
50.0301569,14.3807179,"MOL, Praha 5, K Barrandovu","MOL Česká republika, s.r.o.",24/7,,39.9,,42.36,,24.15,17-06-2026,https://www.mbenzin.cz/
49.4197245,12.7194349,Free1 GAS Lísková,TOP TANK s.r.o.,off,,38.88,,41.66,,24.16,17-06-2026,https://www.mbenzin.cz/
49.691062,17.0503563,,,,,39.63,,41.4,,24.14,17-06-2026,https://www.mbenzin.cz/
50.1301262,14.7230009,EuroOil Nehvizdy,"Čepro, a.s.",24/7,,39.75,,41.71,,23.9,17-06-2026,https://www.mbenzin.cz/
49.6032432,17.2224862,"KM-Prona, Olomouc","KM - PRONA, a.s.",06:00-21:00,,39.18,,40.79,,23.76,17-06-2026,https://www.mbenzin.cz/
49.6028501,17.222102,"EuroOil Olomouc, Pražská","Čepro, a.s.",Mo-Su 06:00-20:00,,39.82,,40.65,,24.27,17-06-2026,https://www.mbenzin.cz/
49.5517913,17.1834732,Benzina - Orlen,PKN Orlen,24/7,,39.16,,41.21,,23.91,17-06-2026,https://www.mbenzin.cz/
49.3059171,17.0312075,MOL,,,,40.61,,42.26,,24.24,17-06-2026,https://www.mbenzin.cz/
49.2601831,16.9917636,"MOL, Vyškov - D1","MOL Česká republika, s.r.o.",24/7,,39.66,,41.95,,24.16,17-06-2026,https://www.mbenzin.cz/
49.1845606,16.7584492,OMV,,24/7,,40.15,,42.98,,24.48,17-06-2026,https://www.mbenzin.cz/
49.1626418,16.6608165,OMV,OMV,24/7,,40.14,,43.28,,24.77,17-06-2026,https://www.mbenzin.cz/
49.1741009,16.6028335,OMV,,"PH,Mo-Su 00:00-24:00",,40.4,,42.68,,24.5,17-06-2026,https://www.mbenzin.cz/
49.6263408,15.4845513,TOONDO s.r.o.,,,,39.72,,40.9,,24.61,17-06-2026,https://www.mbenzin.cz/
49.4470203,17.1147016,OMV,OMV,24/7,,41.1,,42.1,,24.31,17-06-2026,https://www.mbenzin.cz/
50.2817771,14.4963533,"MOL, Libiš","MOL Česká republika, s.r.o.",Mo-Su 05:30-22:00,,40.42,,41.44,,24.49,17-06-2026,https://www.mbenzin.cz/
49.7516732,16.6593465,OMV,OMV,24/7,,40.98,,42.48,,24.41,17-06-2026,https://www.mbenzin.cz/
49.5567809,17.7280122,Orlen,,05:00-22:00,,39.64,,40.7,,24.34,17-06-2026,https://www.mbenzin.cz/
50.0606205,14.5066556,"MOL, Praha 10 - Švehlova","MOL Česká republika, s.r.o.",06:00-22:00,,40.7,,42.08,,24.19,17-06-2026,https://www.mbenzin.cz/
50.0591432,14.4708636,"MOL, Praha 10 - Bohdalec I.","MOL Česká republika, s.r.o.",06:00-22:00,,40.44,,42.13,,24.59,17-06-2026,https://www.mbenzin.cz/
50.0603624,14.4701506,"Shell, Bohdalecká",Shell,24/7,,40.47,,42.17,,24.39,17-06-2026,https://www.mbenzin.cz/
50.0555453,14.4714711,OMV,,,,40.6,,42.6,,24.53,17-06-2026,https://www.mbenzin.cz/
50.0345147,14.4552613,Shell,,,,40.47,,43.24,,24.79,17-06-2026,https://www.mbenzin.cz/
50.1200935,14.5029,Shell,,24/7,,40.98,,42.74,,24.79,17-06-2026,https://www.mbenzin.cz/
50.1408969,14.5054835,,,,,39.91,,40.82,,24.06,17-06-2026,https://www.mbenzin.cz/
50.1020741,14.4986407,Robin Oil,RoBiN OIL s.r.o.,24/7,,39.47,,41.76,,24.34,17-06-2026,https://www.mbenzin.cz/
49.9732299,14.4644572,Shell,,,,40.37,,43.05,,24.41,17-06-2026,https://www.mbenzin.cz/
50.0145137,14.4252255,OMV,OMV Česká republika,24/7,,40.83,,42.91,,24.64,17-06-2026,https://www.mbenzin.cz/
48.9244463,16.5474017,Chemis,,24/7,,39.39,,41.55,,24.62,17-06-2026,https://www.mbenzin.cz/
50.4419639,14.3503306,EuroOil Hněvice,"Čepro, a.s.",Mo-Su 06:00-20:00,,39.15,,41.32,,24.69,17-06-2026,https://www.mbenzin.cz/
50.0360795,14.3865645,Shell,,,,40.52,,42.91,,24.45,17-06-2026,https://www.mbenzin.cz/
49.1572791,16.5045687,EuroOil,Čepro,Mo-Su 06:00-20:00,,39.15,,41.08,,24.49,17-06-2026,https://www.mbenzin.cz/
49.7530383,15.0222729,Orlen,,"Mo-Su,PH 00:00-23:59",,39.22,,40.8,,24.14,17-06-2026,https://www.mbenzin.cz/
49.4116747,15.7211036,"Unicorn, Kozlov, D1, směr Brno",UNIXAN s.r.o.,24/7,,39.59,,41.27,,24.58,17-06-2026,https://www.mbenzin.cz/
49.3778283,15.9459266,Shell Měřín,Shell Czech Republic a.s.,24/7,,40.03,,42.36,,24.69,17-06-2026,https://www.mbenzin.cz/
49.3538012,16.0330152,Shell Velké Meziříčí,Shell Czech Republic a.s.,,,40.5,,42.07,,24.36,17-06-2026,https://www.mbenzin.cz/
48.9589317,17.8832026,OMV,OMV,24/7,,40.41,,43.4,,24.89,17-06-2026,https://www.mbenzin.cz/
50.1126037,14.4790616,OMV,OMV,05:30-22:00,,40.14,,43.02,,24.92,17-06-2026,https://www.mbenzin.cz/
50.061157,14.427715,OMV,OMV,24/7,,40.74,,42.76,,24.34,17-06-2026,https://www.mbenzin.cz/
50.1116067,14.5761464,Makro,,,,38.9,,41.72,,24.05,17-06-2026,https://www.mbenzin.cz/
50.1497086,14.587486,Silmet Praha-Vinoř,SILMET Příbram a.s.,"Mo-Fr 06:00-21:00; Sa,Su 07:00-19:00",,39.19,,41.02,,24.46,17-06-2026,https://www.mbenzin.cz/
50.6853088,13.8857797,Pasoil,,,,38.99,,40.79,,24.68,17-06-2026,https://www.mbenzin.cz/
49.5380562,17.7442917,Orlen,,24/7,,39.81,,41.56,,24.05,17-06-2026,https://www.mbenzin.cz/
49.4371025,12.9118089,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-23:00,,39.29,,40.96,,24.43,17-06-2026,https://www.mbenzin.cz/
49.1545954,16.5999086,Tesco Vídeňská,Tesco Stores ČR a.s.,06:00-24:00,,39.4,,40.56,,23.96,17-06-2026,https://www.mbenzin.cz/
49.0851947,16.1941599,,,,,39.65,,40.57,,24.27,17-06-2026,https://www.mbenzin.cz/
49.4358508,12.9440357,ONE 1,,,,39.91,,40.56,,24.67,17-06-2026,https://www.mbenzin.cz/
49.3920865,13.0291492,Orlen Kdyně,,05:00-23:00,,39.04,,41.71,,24.48,17-06-2026,https://www.mbenzin.cz/
49.3926974,13.0245791,Orlen,,24/7,,39.05,,41.8,,23.92,17-06-2026,https://www.mbenzin.cz/
49.565416,15.9196467,OMV,OMV Česká republika,Mo-Su 05:00-23:00,,40.3,,42.96,,24.53,17-06-2026,https://www.mbenzin.cz/
49.5881866,15.9341376,G.A.S. Petroleum,G.A.S. Petroleum,24/7,,39.01,,40.57,,24.66,17-06-2026,https://www.mbenzin.cz/
49.5487517,15.9561888,,,"Mo-Su,PH 05:00-22:00",,39.56,,41.54,,24.2,17-06-2026,https://www.mbenzin.cz/
49.5538945,15.9465714,"Benzina, Žďár nad Sázavou","Unipetrol RPA, s.r.o. – Benzina",24/7,,39.26,,41.71,,24.15,17-06-2026,https://www.mbenzin.cz/
49.4554735,12.8675781,,,,,39.37,,40.85,,24.36,17-06-2026,https://www.mbenzin.cz/
48.7464584,16.9261374,A+S,Zaris,"Mo-Fr 06:00-20:00; Sa,Su,PH 07:00-19:00",,39.63,,41.85,,24.5,17-06-2026,https://www.mbenzin.cz/
49.1843344,16.7568439,LPG,,,,39.72,,41.47,,24.16,17-06-2026,https://www.mbenzin.cz/
49.6130349,16.0377652,,,,,39.99,,41.48,,24.2,17-06-2026,https://www.mbenzin.cz/
49.5586369,16.0744974,Benzina,,,,39.73,,41.42,,24.5,17-06-2026,https://www.mbenzin.cz/
49.7638532,17.1114023,OMV,OMV Česká republika,Mo-Su 06:00-21:00,,40.94,,42.35,,24.64,17-06-2026,https://www.mbenzin.cz/
49.7779702,16.907552,"MOL, Mohelnice","MOL Česká republika, s.r.o.",24/7,,40.08,,42.22,,24.7,17-06-2026,https://www.mbenzin.cz/
51.0242725,14.4561897,Velta Free Shop,VELTA Free Shop s.r.o.,08:00-20:00,,39.09,,41.31,,24.16,17-06-2026,https://www.mbenzin.cz/
51.0251639,14.4530559,MOL Rožany,"MOL Česká republika, s.r.o.",07:00-20:00,,40.44,,41.89,,24.48,17-06-2026,https://www.mbenzin.cz/
50.0892736,14.5497278,,,,,39.28,,40.66,,24.05,17-06-2026,https://www.mbenzin.cz/
49.6282016,15.9269488,CS Gorivo,,"Mo-Su,PH 06:00-22:00",,39.28,,40.68,,24.39,17-06-2026,https://www.mbenzin.cz/
49.553167,17.2292176,OMV,OMV Česká republika,24/7,,40.44,,42.2,,24.81,17-06-2026,https://www.mbenzin.cz/
50.0874738,14.5364245,"MOL, Praha 9 - Průmyslová","MOL Česká republika, s.r.o.",24/7,,39.86,,41.93,,24.84,17-06-2026,https://www.mbenzin.cz/
50.0772866,14.5387621,OMV,"OMV Česká republika, s.r.o.",24/7,,41.01,,42.74,,24.87,17-06-2026,https://www.mbenzin.cz/
49.5844056,17.2691647,Mol,MOL,24/7,,40.72,,42.1,,24.68,17-06-2026,https://www.mbenzin.cz/
50.9825058,14.2977486,Pasoil,,,,39.03,,41.61,,24.17,17-06-2026,https://www.mbenzin.cz/
50.0757336,14.5481499,"MOL, Praha 10 - Štěrboholy (Europark)","MOL Česká republika, s.r.o.",24/7,,40.37,,41.84,,24.41,17-06-2026,https://www.mbenzin.cz/
50.0587989,14.4833043,Shell,Shell,24/7,,40.75,,42.64,,25.09,17-06-2026,https://www.mbenzin.cz/
48.7498295,16.893398,BORS,BORS Servis,,,38.94,,41.8,,24.6,17-06-2026,https://www.mbenzin.cz/
48.844416,14.9319343,Tank&Café,,24/7,,39.21,,41.3,,24.66,17-06-2026,https://www.mbenzin.cz/
49.3447283,12.8509461,Free1 GAS Folmava,TOP TANK s.r.o.,24/7,,39.58,,40.71,,24.44,17-06-2026,https://www.mbenzin.cz/
49.3451869,12.8519788,"MOL, Folmava II. to CZ","MOL Česká republika, s.r.o.",06:00-22:00,,40.69,,41.69,,24.23,17-06-2026,https://www.mbenzin.cz/
49.3412051,12.8511426,RoBiN OIL Folmava,RoBiN OIL s.r.o.,24/7,,39.74,,41.07,,24.08,17-06-2026,https://www.mbenzin.cz/
49.3494564,12.8528719,"MOL, Folmava I. to GER","MOL Česká republika, s.r.o.",24/7,,40.21,,42.73,,24.45,17-06-2026,https://www.mbenzin.cz/
49.3493471,12.8546126,Orlen,,05:00-23:00,,38.91,,40.57,,24.63,17-06-2026,https://www.mbenzin.cz/
50.1493268,14.1821472,EuroOil Buštěhrad,"Čepro, a.s.",Mo-Su 05:30-20:00,,39.81,,40.57,,24.46,17-06-2026,https://www.mbenzin.cz/
50.4822986,16.0695375,Čerpací stanice OLVAN,Olvan Náchod,,,39.87,,40.76,,23.98,17-06-2026,https://www.mbenzin.cz/
50.0885564,14.4428141,Florenc,,Mo-Su 00:00-00:00,,39.57,,40.7,,24.11,17-06-2026,https://www.mbenzin.cz/
50.2304151,12.8402682,MOL,,,,40.1,,42.4,,24.32,17-06-2026,https://www.mbenzin.cz/
50.23126,12.85479,OMV,OMV,24/7,,40.79,,42.41,,24.77,17-06-2026,https://www.mbenzin.cz/
50.2805379,12.9384882,"MOL, Ostrov n. Ohří - Nejda","MOL Česká republika, s.r.o.",05:00-21:00,,40.06,,42.11,,24.72,17-06-2026,https://www.mbenzin.cz/
50.2442289,12.8990514,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-23:00,,39.05,,40.67,,24.35,17-06-2026,https://www.mbenzin.cz/
50.24467,12.8332763,Medos Agro,,,,39.69,,41.1,,24.19,17-06-2026,https://www.mbenzin.cz/
50.8523016,14.8596877,MOL Hrádek nad Nisou,"MOL Česká republika, s.r.o.",06:00-22:00,,39.69,,42.22,,24.56,17-06-2026,https://www.mbenzin.cz/
49.5850323,17.0896248,,,,,39.91,,41.32,,24.41,17-06-2026,https://www.mbenzin.cz/
49.5578972,17.7461805,OMV,OMV,24/7,,40.99,,42.76,,24.56,17-06-2026,https://www.mbenzin.cz/
49.4548914,17.1116929,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-21:00,,39.02,,40.6,,24.3,17-06-2026,https://www.mbenzin.cz/
49.469811,17.1184261,Shell,,,,40.04,,42.89,,24.6,17-06-2026,https://www.mbenzin.cz/
50.0861367,12.4593821,ONO,Tank ONO s.r.o.,24/7,,36.4,,39.61,,23.04,17-06-2026,https://www.mbenzin.cz/
50.1228185,12.5298421,MOL Kynšperk n. Ohří,"MOL Česká republika, s.r.o.",,,39.6,,41.87,,24.35,17-06-2026,https://www.mbenzin.cz/
50.1695226,12.648175,RoBiN OIL Sokolov,RoBiN OIL s.r.o.,24/7,,39.0,,41.24,,24.64,17-06-2026,https://www.mbenzin.cz/
50.058821,14.4894154,Orlen,,24/7,,39.42,,40.67,,24.28,17-06-2026,https://www.mbenzin.cz/
49.9521704,15.1584647,,,,,39.23,,41.82,,24.11,17-06-2026,https://www.mbenzin.cz/
51.0317778,14.4511681,MWD,MWD,,,39.15,,41.72,,23.9,17-06-2026,https://www.mbenzin.cz/
50.076511,14.5796606,"MOL, Štěrboholská spojka, z centra","MOL Česká republika, s.r.o.",24/7,,40.46,,41.92,,24.75,17-06-2026,https://www.mbenzin.cz/
50.5235286,13.2372672,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",24/7,,39.83,,41.08,,24.29,17-06-2026,https://www.mbenzin.cz/
50.9680763,14.5638241,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,39.07,,41.78,,24.51,17-06-2026,https://www.mbenzin.cz/
50.9492706,14.5813195,Tank ONO Rumburk,Tank ONO s.r.o.,24/7,,37.09,,38.77,,23.55,17-06-2026,https://www.mbenzin.cz/
49.165815,16.631278,"Benzina - Brno, Hněvkovského","Unipetrol RPA, s.r.o. – Benzina",05:00-22:00,,38.98,,41.78,,24.44,17-06-2026,https://www.mbenzin.cz/
50.0514397,14.5671777,"Tank Ono - ČS Praha, Dolní Měcholupy",Tank ONO s.r.o.,24/7,,36.41,,38.32,,23.51,17-06-2026,https://www.mbenzin.cz/
50.205042,12.209046,Markop FL,,,,38.95,,41.59,,24.67,17-06-2026,https://www.mbenzin.cz/
50.1650121,12.3579546,Skaldo,SKALDO a.s.,Mo-Fr 06:00-20:00,,38.91,,41.07,,24.28,17-06-2026,https://www.mbenzin.cz/
50.4461285,13.3292719,,JP servis-OIL s.r.o.,,,39.03,,40.66,,24.42,17-06-2026,https://www.mbenzin.cz/
49.8108396,12.4671506,Free1 GAS Pavlův Studenec - Bärnau,TOP TANK s.r.o.,off,,39.09,,40.84,,24.14,17-06-2026,https://www.mbenzin.cz/
50.1216639,15.0826464,OMV,OMV,24/7,,41.18,,42.05,,24.67,17-06-2026,https://www.mbenzin.cz/
50.1322988,14.8643587,MOL,,24/7,,40.07,,42.47,,24.84,17-06-2026,https://www.mbenzin.cz/
50.1650321,14.1086401,Koloc Oil Kladno,KOLOC oil,,,39.94,,40.55,,24.7,17-06-2026,https://www.mbenzin.cz/
50.1030143,14.5872726,Globus,"Globus ČR, v.o.s.",06:30-21:00,,39.29,,40.94,,24.38,17-06-2026,https://www.mbenzin.cz/
50.0799259,14.6290651,"MOL, Praha 9 - Českobrodská","MOL Česká republika, s.r.o.",06:00-22:00,,40.36,,41.54,,24.4,17-06-2026,https://www.mbenzin.cz/
50.9166645,14.6229161,Noprosu,Noprosu,24/7,,39.38,,41.32,,24.52,17-06-2026,https://www.mbenzin.cz/
49.6009502,17.299858,,,,,39.91,,41.1,,24.18,17-06-2026,https://www.mbenzin.cz/
48.7805193,16.9031426,Tesco,Tesco Stores ČR a.s.,24/7,,38.94,,41.38,,23.97,17-06-2026,https://www.mbenzin.cz/
48.8951746,16.8191957,"MOL, Velké Pavlovice","MOL Česká republika, s.r.o.",06:00-21:00,,40.09,,41.6,,24.78,17-06-2026,https://www.mbenzin.cz/
49.7827466,13.3848023,"PapOil, Plzeň - Plaská","MOL Česká republika, s.r.o.",,,39.13,,41.33,,24.23,17-06-2026,https://www.mbenzin.cz/
49.781151,13.3705463,MOL,MOL Česká republika,Mo-Su 06:00-22:00,,39.63,,42.74,,24.22,17-06-2026,https://www.mbenzin.cz/
49.772951,13.3662611,"MOL, Plzeň Gerská","MOL Česká republika, s.r.o.",24/7,,40.7,,42.48,,24.27,17-06-2026,https://www.mbenzin.cz/
49.7577928,13.3727813,Shell,,24/7,,41.04,,42.44,,24.38,17-06-2026,https://www.mbenzin.cz/
49.7751287,13.3604944,"ONO - Plzeň, Studentská",Tank ONO s.r.o.,24/7,,36.31,,38.56,,23.56,17-06-2026,https://www.mbenzin.cz/
48.8812147,16.0612733,,,,,39.98,,40.78,,24.67,17-06-2026,https://www.mbenzin.cz/
49.9926538,14.8440362,Orlen,,05:00-22:00,,39.7,,41.49,,24.28,17-06-2026,https://www.mbenzin.cz/
49.7464844,13.3905012,"OMV U Prazdroje, Plzeň","OMV Česká republika, s.r.o.",24/7,,40.56,,42.47,,24.56,17-06-2026,https://www.mbenzin.cz/
49.9567846,14.0625009,OMV,"OMV Česká republika, s.r.o.",24/7,,40.81,,42.71,,24.59,17-06-2026,https://www.mbenzin.cz/
49.9559701,14.0629998,"OMV sjezd z D5, Beroun","OMV Česká republika, s.r.o.",24/7,,40.75,,43.18,,24.98,17-06-2026,https://www.mbenzin.cz/
50.409392,14.2392435,Shell,,,,41.07,,42.42,,24.58,17-06-2026,https://www.mbenzin.cz/
50.4087032,14.2361805,"Eurobit, Roudnice nad Labem",EUROBIT - čerpací stanice s.r.o.,24/7,,39.49,,40.54,,23.64,17-06-2026,https://www.mbenzin.cz/
49.4095327,14.6864517,"KM-Prona, Tábor","KM - PRONA, a.s.",06:00-22:00,,39.1,,40.86,,24.36,17-06-2026,https://www.mbenzin.cz/
49.3248112,13.6873165,,,Mo-Su 05:00-22:00,,39.52,,40.82,,24.36,17-06-2026,https://www.mbenzin.cz/
49.5565734,16.0674462,Shell,,,,40.72,,42.93,,24.33,17-06-2026,https://www.mbenzin.cz/
50.0729427,12.361411,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,39.64,,40.84,,24.31,17-06-2026,https://www.mbenzin.cz/
50.341821,14.8733741,"MOL, Strašnov - R10, směr Mladá Boleslav","MOL Česká republika, s.r.o.",24/7,,40.63,,42.08,,24.44,17-06-2026,https://www.mbenzin.cz/
50.0592839,14.4851496,Orlen,,24/7,,39.72,,40.85,,24.16,17-06-2026,https://www.mbenzin.cz/
49.2785607,16.2272706,,,,,39.02,,40.78,,24.05,17-06-2026,https://www.mbenzin.cz/
50.343957,14.8716492,"MOL, Brodce - R10, směr Praha","MOL Česká republika, s.r.o.",24/7,,40.48,,42.12,,24.79,17-06-2026,https://www.mbenzin.cz/
49.5270545,14.8043299,Okta,OKTANnew cz,Mo-Fr 06:00-20:00; Sa 07:00-20:00; Su 08:00-20:00,,38.87,,41.89,,24.28,17-06-2026,https://www.mbenzin.cz/
49.6088979,14.9084901,,,,,38.92,,40.51,,24.27,17-06-2026,https://www.mbenzin.cz/
49.573116,14.659243,Milicin,,,,39.86,,40.87,,24.66,17-06-2026,https://www.mbenzin.cz/
48.7557184,16.8514247,A+S,Zaris,"Mo-Fr 06:00-20:00; Sa,Su 07:00-20:00",,39.13,,41.1,,24.02,17-06-2026,https://www.mbenzin.cz/
50.0806804,14.5383892,Shell,Shell,,,41.09,,42.79,,24.68,17-06-2026,https://www.mbenzin.cz/
50.103582,14.5169042,OMV,OMV,Mo-Su 06:00-22:00,,40.17,,42.82,,24.41,17-06-2026,https://www.mbenzin.cz/
50.9136838,14.5665695,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 06:00-22:00,,39.95,,40.67,,23.94,17-06-2026,https://www.mbenzin.cz/
49.0668332,13.7819616,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 06:00-22:00,,38.96,,41.71,,23.99,17-06-2026,https://www.mbenzin.cz/
49.2571737,13.913754,OMV,OMV Česká republika,24/7,,40.48,,42.8,,24.44,17-06-2026,https://www.mbenzin.cz/
50.1348207,14.4521157,"MOL, Praha 8 - Kobylisy","MOL Česká republika, s.r.o.",24/7,,39.92,,42.34,,24.7,17-06-2026,https://www.mbenzin.cz/
49.7463829,16.1541692,G.A.S. Petroleum,G.A.S. Petroleum Group,Mo-Su 05:00-22:00,,38.84,,41.46,,24.48,17-06-2026,https://www.mbenzin.cz/
49.8026011,16.1715239,"Zaris, Budislav",Zaris s.r.o.,"Mo-Fr 07:00-18:00; Sa,Su 08:00-18:00",,39.19,,41.67,,24.51,17-06-2026,https://www.mbenzin.cz/
48.9501645,14.9214698,,"Čepro, a.s.",Mo-Su 06:00-21:00,,39.15,,40.55,,24.45,17-06-2026,https://www.mbenzin.cz/
50.9433598,14.5798056,Velta Free Shop,VELTA Free Shop s.r.o.,"Mo-Fr 07:00-19:00; Sa,Su 08:00-20:00",,39.17,,41.38,,24.36,17-06-2026,https://www.mbenzin.cz/
49.3442564,16.4225216,ČSAD Tišnov,,,,38.87,,41.29,,24.48,17-06-2026,https://www.mbenzin.cz/
49.562755,16.5726325,Shell,,,,40.37,,42.85,,25.06,17-06-2026,https://www.mbenzin.cz/
50.8013757,14.4326968,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-22:00,,39.86,,40.62,,24.52,17-06-2026,https://www.mbenzin.cz/
50.0832378,14.4780085,"MOL, Praha 3 - Žižkov U Nákladového nádraží","MOL Česká republika, s.r.o.",05:00-22:00,,40.07,,41.87,,24.15,17-06-2026,https://www.mbenzin.cz/
50.1510981,14.5111334,Globus,"Globus ČR, v.o.s.",24/7,,38.93,,41.27,,24.47,17-06-2026,https://www.mbenzin.cz/
49.3975735,15.6086328,Tesco Jihlava,Tesco Stores ČR a.s.,06:00-22:00,,39.89,,41.77,,23.92,17-06-2026,https://www.mbenzin.cz/
50.7338159,15.1578329,Shell,"Shell Czech Republic, a.s.",24/7,,40.43,,42.36,,24.43,17-06-2026,https://www.mbenzin.cz/
49.3977618,15.60539,EuroOil Jihlava,"Čepro, a.s.",Mo-Su 06:00-21:00,,39.68,,40.69,,24.2,17-06-2026,https://www.mbenzin.cz/
49.3972732,15.6057024,Shell,,,,40.04,,42.98,,25.07,17-06-2026,https://www.mbenzin.cz/
49.3310436,15.5777697,Orlen,"Orlen Unipetrol RPA s.r.o. - Benzina, odštěpný závod",Mo-Su 05:00-21:00,,39.73,,41.58,,24.43,17-06-2026,https://www.mbenzin.cz/
49.4075008,15.5817156,Prim,PETRA s.r.o.,06:00-22:00,,39.16,,40.69,,24.27,17-06-2026,https://www.mbenzin.cz/
